Year,Week,District,Stations,Cases
2019,30,BHOJPUR,No station found in dataset,
2019,30,CHITAWAN,No station found in dataset,2.0
2019,30,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,30,DAILEKH,Dailekh,
2019,30,DANG,Ghorai (Dang),
2019,30,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",
2019,30,DHADING,"Dhunibesi, Dhunibesi_delete",2.0
2019,30,DHANKUTA,No station found in dataset,
2019,30,DHANUSA,No station found in dataset,
2019,30,DOLAKHA,Charikot,
2019,30,DOLPA,Dunai,
2019,30,DOTI,Dipayal (Doti),
2019,30,EAST,No station found in dataset,
2019,30,EAST,No station found in dataset,
2019,30,GORKHA,No station found in dataset,
2019,30,GULMI,Tamghas,
2019,30,HUMLA,"Simikot, Simikot Airport",
2019,30,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
2019,30,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,30,JHAPA,Gaida (Kankai),1.0
2019,30,JUMLA,Jumla,
2019,30,KAILALI,Tikapur,
2019,30,KALIKOT,"Manma, Manma_AWS",
2019,30,KANCHANPUR,Mahendra Nagar,
2019,30,KAPILBASTU,No station found in dataset,
2019,30,KASKI,Pokhara Airport,1.0
2019,30,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",7.0
2019,30,KAVREPALANCHOK,No station found in dataset,
2019,30,KHOTANG,Diktel,
2019,30,LALITPUR,Khumaltar,2.0
2019,30,LAMJUNG,Khudi Bazar,
2019,30,MAHOTTARI,Jalesor,
2019,30,MAKWANPUR,Hetauda N.F.I.,
2019,30,MANANG,Manang Bhot,
2019,30,MORANG,Biratnagar Airport,
2019,30,MUGU,Gamadi Shree Nagar,
2019,30,MUSTANG,"Jomsom, Jomsom TPB",
2019,30,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,30,NUWAKOT,Nuwakot,
2019,30,OKHALDHUNGA,Okhaldhunga,
2019,30,PALPA,Tansen,
2019,30,PANCHTHAR,Phidim (Panchther),
2019,30,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,30,PARSA,Birganj,
2019,30,PYUTHAN,"Bijuwar Tar, Bijuwatar",
2019,30,RAMECHHAP,Manthali,
2019,30,RASUWA,Dhunche,
2019,30,ROLPA,"Libang Gaun, Liwang",
2019,30,RUPANDEHI,Bhairahawa Airport,
2019,30,SALYAN,"Salyan Bazaar_AWS, Salyan Bazar",
2019,30,SANKHUWASABHA,Num,
2019,30,SAPTARI,Rajbiraj,
2019,30,SARLAHI,Karmaiya,
2019,30,SINDHULI,Sindhuli Madhi,
2019,30,SINDHUPALCHOK,No station found in dataset,
2019,30,SIRAHA,Lahan,
2019,30,SOLUKHUMBU,No station found in dataset,
2019,30,SUNSARI,Tarahara,
2019,30,SURKHET,Surkhet Airport (Birendranagar),
2019,30,SYANGJA,Syangja,
2019,30,TANAHU,Bandipur,
2019,30,TAPLEJUNG,Taplejung,
2019,30,TERHATHUM,Terhathum,
2019,30,UDAYAPUR,Udayapur Gadhi,
2019,30,WEST,No station found in dataset,
2019,30,WEST,No station found in dataset,
2019,30,,No station found in dataset,
2019,31,ACHHAM,Mangalsen,
2019,31,ARGHAKHANCHI,No station found in dataset,
2019,31,BAGLUNG,Baglung,
2019,31,BAITADI,Patan new,
2019,31,BAJHANG,Chainpur Bajhang new aws,
2019,31,BAJURA,Bajura (Martadi),
2019,31,BANKE,Khajura (Nepalganj),1.0
2019,31,BARA,Simara Airport,
2019,31,BARDIYA,Gulariya,
2019,31,BHAKTAPUR,Bhaktapur,
2019,31,BHOJPUR,No station found in dataset,
2019,31,CHITAWAN,No station found in dataset,
2019,31,DADELDHURA,"Dadeldhura, Dadeldhura_AWS",
2019,31,DAILEKH,Dailekh,
2019,31,DANG,Ghorai (Dang),
2019,31,DARCHULA,"Darchula New, Mahakali at Darchula (Dattu)",
2019,31,DHADING,"Dhunibesi, Dhunibesi_delete",
2019,31,DHANKUTA,No station found in dataset,
2019,31,DHANUSA,No station found in dataset,
2019,31,DOLAKHA,Charikot,
2019,31,DOLPA,Dunai,
2019,31,DOTI,Dipayal (Doti),
2019,31,EAST,No station found in dataset,
2019,31,EAST,No station found in dataset,
2019,31,GORKHA,No station found in dataset,
2019,31,GULMI,Tamghas,
2019,31,HUMLA,"Simikot, Simikot Airport",
2019,31,ILAM,"Ilam Tea Estate, Ilam Tea State_AWS",
2019,31,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,31,JHAPA,Gaida (Kankai),2.0
2019,31,JUMLA,Jumla,
2019,31,KAILALI,Tikapur,
2019,31,KALIKOT,"Manma, Manma_AWS",
2019,31,KANCHANPUR,Mahendra Nagar,
2019,31,KAPILBASTU,No station found in dataset,
2019,31,KASKI,Pokhara Airport,7.0
2019,31,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",3.0
2019,31,KAVREPALANCHOK,No station found in dataset,
2019,31,KHOTANG,Diktel,
2019,31,LALITPUR,Khumaltar,
2019,31,LAMJUNG,Khudi Bazar,
2019,31,MAHOTTARI,Jalesor,
2019,31,MAKWANPUR,Hetauda N.F.I.,
2019,31,MANANG,Manang Bhot,
2019,31,MORANG,Biratnagar Airport,
2019,31,MUGU,Gamadi Shree Nagar,
2019,31,MUSTANG,"Jomsom, Jomsom TPB",
2019,31,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,31,NUWAKOT,Nuwakot,
2019,31,OKHALDHUNGA,Okhaldhunga,
2019,31,PALPA,Tansen,
2019,31,PANCHTHAR,Phidim (Panchther),
2019,31,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,31,PARSA,Birganj,
2019,31,PYUTHAN,"Bijuwar Tar, Bijuwatar",
